issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Cumulus Static CLO 2023-1 DAC,Investment Grade,,Bond - Collateralized Loan Obligations (CLO),Asset Backed,Developed
Government National Mortgage Association,Investment Grade,25.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Russian Federation,Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
,,,Interest Rate Swap,Government Related,
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Hayfin Emerald CLO XII DAC,,,Bond - Collateralized Loan Obligations (CLO),Non-Agency Residential Mortgage Backed,Developed
Russian Federation,Below Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
CSMC 2019-RPL5 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
SANTANDER DRIVE AUTO RECEIVABLES TRUST 2023-3,Investment Grade,155.0,Bond - Asset Backed,Asset Backed,Developed
NAVIENT PRIVATE EDUCATION LOAN TRUST 2023-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
Performer Funding 1 PLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Altice Financing S.A.,Below Investment Grade,442.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Argentina (Republic of),Below Investment Grade,1721.0,Bond - Gov't/Treasury,Government,Emerging
Legacy Mtg Tr 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
The Boeing Company,Investment Grade,165.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
UBS Group AG,Investment Grade,167.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Fnma Pass-Thru I,,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Santander UK Group Holdings PLC,Investment Grade,159.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Jupiter High-Grade Cdo III Ltd/Inc,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Federal National Mortgage Association,Investment Grade,48.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
CSMC TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CSMC 2019-RPL7 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Avolon Holdings Funding Ltd.,Investment Grade,193.0,Bond - Corporate Bond,Corporate Bond,Developed
United States Treasury Bonds,Investment Grade,9.0,Bond - Gov't/Treasury,Government,Developed
,,,Credit Default Swap,Swap,
Gaz Capital S.A.,Below Investment Grade,,Bond - Corporate Bond,Corporate Bond,Emerging
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Pacific Gas and Electric Company,Investment Grade,123.0,Bond - Corporate Bond,Corporate Bond,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Kirkby Rmbs Plc,,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
,Investment Grade,,Bond - Asset Backed,,
Fnma Pass-Thru I,,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Ripon Mortgages PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Government National Mortgage Association,Investment Grade,-11.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Banco Santander, S.A.",Investment Grade,117.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
UBS Group AG,Investment Grade,118.0,Bond - Corporate Bond,Corporate Bond,Developed
Fnma Pass-Thru I,,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
United States Treasury Bonds,Investment Grade,4.0,Bond - Gov't/Treasury,Government,Developed
Citigroup Mortgage Loan Trust 2021-Rp4,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Lloyds Banking Group PLC,Below Investment Grade,500.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Durham Mortgages A PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
SMB PRIVATE EDUCATION LOAN TRUST 2023-D,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
UBS Group AG,Investment Grade,123.0,Bond - Corporate Bond,Corporate Bond,Developed
Roundstone Securities No.1 Designated Activity Company,,,Bond - Commercial MBS,Agency Mortgage Backed,Developed
MAN Euro CLO 2023-1 DAC,Investment Grade,,Bond - Collateralized Loan Obligations (CLO),Asset Backed,Developed
TOWD POINT MORTGAGE TRUST 2022-4,Investment Grade,184.0,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Option (Call),,
LEGACY MORTGAGE ASSET TRUST,,,Bond - Asset Backed,Asset Backed,Developed
GOLDENTREE LOAN MANAGEMENT US CLO 16 LTD,,,Bond - Asset Backed,Asset Backed,Developed
RAD CLO 21 LTD,,,Bond - Asset Backed,Asset Backed,Developed
Soundview Home Loan Trust,Below Investment Grade,89.0,Bond - Asset Backed,Asset Backed,Developed
SILVER ROCK CLO I LTD,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Legacy Mtg Tr 2017,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
Fnma Pass-Thru I,,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Asset Backed,,
SMB PRIVATE EDUCATION LOAN TRUST 2022-B,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
OPEN TRUST 2023-AIR,Investment Grade,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Gaz Finance plc,Investment Grade,,Bond - Corporate Bond,Corporate Bond,Emerging
LEGACY MORTGAGE ASSET TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Greece (Republic Of),Below Investment Grade,134.0,Bond - Gov't/Treasury,Government,Developed
Chester A Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
CSMC 2019-RPL7 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
Federal Home Loan Mortgage Corp.,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Pret 2023-Rn1 Llc,,,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Non-Agency Residential MBS,,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
"Charter Communications Operating, LLC/Charter Communications Operating Capital Corp.",Investment Grade,236.0,Bond - Corporate Bond,Corporate Bond,Developed
Carvana Co,Below Investment Grade,,Bond - Corporate Bond,Corporate Bond,Developed
Pacific Gas and Electric Company,Investment Grade,106.0,Bond - Corporate Bond,Corporate Bond,Developed
Csmc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Ripon Mortgages PLC,,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Societe Generale S.A.,Investment Grade,125.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
CSMCM TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Durham Mortgages B PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
LEGACY MORTGAGE ASSET TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
United States Treasury Notes,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
Hout Bay 2006-1 Ltd / Corp,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Argentina (Republic of),Below Investment Grade,3147.0,Bond - Gov't/Treasury,Government,Emerging
,,,Credit Default Swap,Swap,
Israel (State Of),Investment Grade,162.0,Bond - Gov't/Treasury,Government,Developed
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Grosvenor Square RMBS 2023-1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Option (Put),,
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,,,Credit Default Swap,Swap,
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Palmer Square European Loan Funding 2023-1 Designated Activity Company,Investment Grade,,Bond - Collateralized Loan Obligations (CLO),Asset Backed,Developed
,,,Credit Default Swap,Swap,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Durham Mortgages A PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
Argentina (Republic of),Below Investment Grade,1435.0,Bond - Gov't/Treasury,Government,Emerging
,,,Interest Rate Swap,Government Related,
Roundstone Securities No.1 Designated Activity Company,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
CONSUMER LOAN FINANCE 2023-1 ISSUER TRUST,,,Bond - Asset Backed,,
Sofi Alternative Trust 2018,,,Bond - Asset Backed,Asset Backed,Developed
Deutsche Bank AG New York Branch,Investment Grade,190.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
SANTANDER DRIVE AUTO RECEIVABLES TRUST 2023-2,Investment Grade,167.0,Bond - Asset Backed,Asset Backed,Developed
Performer Funding 1 PLC,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
CONSUMER LOAN FINANCE 2023-3 ISSUER TRUST,,,Bond - Asset Backed,,
Citigroup Mortgage Loan Trust,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
CONSUMER LOAN FINANCE 2023-2 ISSUER TRUST,,,Bond - Asset Backed,,
Pacific Gas and Electric Company,Investment Grade,156.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
COLLEGE AVE STUDENT LOANS 2023-B LLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
Pacific Gas and Electric Company,Investment Grade,137.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Pacific Gas and Electric Company,Investment Grade,56.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Stratton Mortgage Funding 2021-2 Plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Option (Call),,
,,,Bond - Option (Call),,
,,,Interest Rate Swap,Government Related,
NOMURA RESECURITIZATION TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Nationwide Building Society,Investment Grade,150.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CHASE HOME LENDING MORTGAGE TRUST 2023-RPL2,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Turkey (Republic of),Below Investment Grade,270.0,Bond - Gov't/Treasury,Government,Emerging
CITIGROUP MORTGAGE LOAN TRUST,,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Windstream Escrow LLC / Windstream Escrow Finance Corp,Below Investment Grade,736.0,Bond - Corporate Bond,Corporate Bond,Developed
COLLEGE AVE STUDENT LOANS 2023-B LLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Pacific Gas and Electric Company,Investment Grade,159.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Interest Rate Swap,Government Related,
Fnma Pass-Thru I,,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CHASE HOME LENDING MORTGAGE TRUST 2023-RPL3,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
United States Treasury Bonds,Investment Grade,0.0,Bond - Gov't Inflation Protected,Government,Developed
The Boeing Company,Investment Grade,129.0,Bond - Corporate Bond,Corporate Bond,Developed
Romania (Republic Of),Investment Grade,337.0,Bond - Gov't/Treasury,Government,Emerging
,,,Interest Rate Swap,Government Related,
Broadcom Inc,Investment Grade,100.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Credit Default Swap,Swap,
VERUS SECURITIZATION TRUST 2023-6,Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
SMRT COMMERCIAL MORTGAGE TRUST 2022-MINI,Investment Grade,1320.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Fnma Pass-Thru I,,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Cengage Learning Hldgs Ii Inc,Below Investment Grade,,Bond - Corporate Bond,,
Fnma Pass-Thru I,,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
J.P. MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES TRUST 2023-CCDC,,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Citigroup Mortgage Loan Trust 2021-Rp4,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,17.0,Bond - U.S. Agency TBA,Agency Mortgage Backed,Developed
Nissan Motor Co Ltd.,Below Investment Grade,169.0,Bond - Corporate Bond,Corporate Bond,Developed
VERUS SECURITIZATION TRUST 2023-7,Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
HSBC Holdings PLC,Investment Grade,142.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Credit Default Swap,Swap,
Performer Funding 1 PLC,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Durham Mortgages B PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
,,,Interest Rate Swap,Government Related,
Societe Generale S.A.,Investment Grade,151.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Credit Default Swap,Swap,
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
,,,Credit Default Swap,Swap,
Proteus  Rmbs DAC,,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
CSMC 2019-RPL5 TRUST,,,Bond - Asset Backed,Asset Backed,Developed
BPCE SA,Investment Grade,153.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
,,,Credit Default Swap,Swap,
Prime Healthcare Services Inc,Below Investment Grade,435.0,Bond - Corporate Bond,Corporate Bond,Developed
HSBC Holdings PLC,Investment Grade,154.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Credit Default Swap,Swap,
American Gen Mtg L,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CSMC 2013-MH1 TRUST,,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
MFA 2023-NQM2 TRUST,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
LEGACY MORTGAGE ASSET TRUST,,,Bond - Asset Backed,Asset Backed,Developed
Csmc,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Russian Federation,Investment Grade,,Bond - Gov't/Treasury,Government,Emerging
Fnma Pass-Thru I,,68.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CARVANA AUTO RECIEVABLES TRUST 2023-P2,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
UBS Group AG,Investment Grade,111.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Deutsche Bank AG New York Branch,Investment Grade,96.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Corsair International Limited,,,Bond - Corporate Bond,Corporate Bond,Emerging
Pacific Gas and Electric Company,Investment Grade,138.0,Bond - Corporate Bond,Corporate Bond,Developed
WSTN TRUST 2023-MAUI,Investment Grade,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
"Banco Santander, S.A.",Investment Grade,117.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
